ID,Cluster
637,1
719,4
615,1
660,1
620,1
715,1
604,1
711,1
641,1
646,1
710,3
725,1
631,1
718,3
643,1
655,3
638,1
653,3
717,1
659,3
658,1
619,1
656,3
657,1
714,3
622,1
601,1
664,3
614,1
613,3
728,1
640,1
611,1
732,1
736,3
713,3
737,3
652,1
661,1
624,3
654,3
651,1
808,1
775,3
1047,1
1046,3
1045,1
1044,1
799,1
1049,1
750,4
1012,1
770,1
1013,2
745,3
1059,6
752,1
804,4
784,3
743,1
1051,3
1055,3
758,1
763,1
753,1
1052,1
1062,2
810,3
811,1
817,1
769,1
1054,5
767,3
1084,3
1085,3
771,1
1087,3
1083,3
814,1
739,1
1091,3
1089,1
1090,3
847,1
858,3
1080,3
880,1
1078,1
1077,1
870,1
1079,1
1082,2
869,4
1081,3
1075,1
1065,1
1076,3
828,1
821,1
1064,1
1069,1
1067,1
1068,2
826,1
838,3
872,3
1070,1
875,1
1066,3
1072,1
1074,1
1092,3
1093,3
878,3
1095,3
881,1
867,3
1096,2
836,1
1097,1
879,1
