ID,Cluster
637,1
719,2
615,1
660,1
620,1
715,1
604,1
711,1
641,1
646,1
710,1
725,1
631,1
718,1
643,1
655,1
638,1
653,1
717,1
659,1
658,1
619,1
656,1
657,1
714,1
622,1
601,1
664,1
614,1
613,1
728,1
640,1
611,1
732,1
736,1
713,1
737,1
652,1
661,1
624,1
654,1
651,1
808,1
775,1
1047,1
1046,1
1045,1
1044,1
799,1
1049,1
750,2
1012,1
770,1
1013,1
745,1
1059,4
752,1
804,2
784,1
743,1
1051,1
1055,1
758,1
763,1
753,1
1052,1
1062,1
810,1
811,1
817,1
769,1
1054,3
767,1
1084,1
1085,1
771,1
1087,1
1083,1
814,1
739,1
1091,1
1089,1
1090,1
847,1
858,1
1080,1
880,1
1078,1
1077,1
870,1
1079,1
1082,1
869,2
1081,1
1075,1
1065,1
1076,1
828,1
821,1
1064,1
1069,1
1067,1
1068,1
826,1
838,1
872,1
1070,1
875,1
1066,1
1072,1
1074,1
1092,1
1093,1
878,1
1095,1
881,1
867,1
1096,1
836,1
1097,1
879,1
