ID,Cluster
637,1
719,3
615,1
660,1
620,1
715,1
604,1
711,1
641,1
646,1
710,2
725,1
631,1
718,2
643,1
655,2
638,1
653,2
717,1
659,2
658,1
619,1
656,2
657,1
714,2
622,1
601,1
664,2
614,1
613,2
728,1
640,1
611,1
732,1
736,2
713,2
737,2
652,1
661,1
624,2
654,2
651,1
808,1
775,2
1047,1
1046,2
1045,1
1044,1
799,1
1049,1
750,3
1012,1
770,1
1013,2
745,2
1059,5
752,1
804,3
784,2
743,1
1051,2
1055,2
758,1
763,1
753,1
1052,1
1062,2
810,2
811,1
817,1
769,1
1054,4
767,2
1084,2
1085,2
771,1
1087,2
1083,2
814,1
739,1
1091,2
1089,1
1090,2
847,1
858,2
1080,2
880,1
1078,1
1077,1
870,1
1079,1
1082,2
869,3
1081,2
1075,1
1065,1
1076,2
828,1
821,1
1064,1
1069,1
1067,1
1068,2
826,1
838,2
872,2
1070,1
875,1
1066,2
1072,1
1074,1
1092,2
1093,2
878,2
1095,2
881,1
867,2
1096,2
836,1
1097,1
879,1
