volume,matemp,mltemp,mhtemp,mwind,msnowacc,msnow,msun,mhumidi,mean_consumption,interval,last_year_mean,last_year_sum,price,Year sin,Year cos
243.0,-0.4111111111111111,2.533333333333333,-3.705555555555555,3.394444444444445,72.05555555555556,2.555555555555556,4.855555555555556,58.55555555555556,13.5,18.0,17.914678899082567,1952.7,86,0.9855215597400182,0.1695501556696478
335.4,2.8937500000000003,5.05,0.85625,2.4375,26.375,2.375,2.5812500000000003,63.1875,20.9625,16.0,16.45225806451613,2550.1,64,0.22724575676777908,0.9738374433297579
266.8,-1.8055555555555551,1.438888888888889,-5.288888888888888,3.8,2.333333333333333,1.7777777777777777,2.9833333333333334,63.94444444444444,14.822222222222225,18.0,13.559756097560976,2223.8,65,-0.4148849388942679,0.9098738854801249
176.5,-4.550000000000001,-0.3124999999999999,-8.475000000000001,3.7,11.25,2.0,6.6875,63.5,22.0625,8.0,26.513043478260865,4268.599999999999,57,0.9998096001337915,0.01951316171992515
200.9,3.307142857142857,6.307142857142857,0.2642857142857142,3.599999999999999,43.0,3.857142857142857,3.692857142857143,68.28571428571429,14.35,14.0,18.54836601307189,2837.9,95,0.3435329530095126,0.9391406232277273
117.5,3.242857142857143,7.1,0.1714285714285713,3.814285714285714,93.35714285714286,4.5,2.542857142857143,70.42857142857143,8.392857142857142,14.0,21.18733333333333,3178.0999999999995,101,0.6770085499640497,0.7359751512623064
161.6,1.363157894736842,4.06842105263158,-1.3105263157894738,2.784210526315789,28.05263157894737,3.789473684210526,1.6105263157894738,70.94736842105263,8.505263157894737,19.0,8.816666666666668,1269.6,81,0.09638162338474374,0.9953444542839034
202.6,-4.225,-0.59375,-8.075,4.043749999999999,14.0625,1.6875,5.84375,63.0625,12.6625,16.0,15.576470588235296,2118.4,57,0.9998909005684656,-0.014771152980816715
186.6,2.683333333333333,6.266666666666667,-1.15,3.9333333333333336,71.83333333333333,8.333333333333334,3.5499999999999994,65.33333333333333,31.1,6.0,22.738414634146345,3729.1,57,0.8769759455914987,0.48053427646099994
136.4,-7.885714285714285,-3.271428571428572,-13.328571428571427,3.3,0.0,0.0,7.871428571428571,57.71428571428572,19.485714285714288,7.0,34.36728395061727,5567.499999999998,89,0.9740430934558523,-0.22636265613160209
469.0,2.9714285714285715,5.8,0.2428571428571428,4.1,81.14285714285714,2.7142857142857144,3.142857142857143,63.142857142857146,67.0,7.0,59.51419753086418,9641.299999999996,77,0.6090573276711542,0.7931262015657233
252.9,1.1363636363636365,3.809090909090909,-1.8090909090909093,4.79090909090909,68.45454545454545,1.5454545454545454,2.9545454545454546,70.27272727272727,22.99090909090909,11.0,14.491925465838507,2333.2,76,0.7309087791914163,0.6824751691460382
209.0,0.9142857142857144,3.642857142857143,-2.357142857142857,3.6714285714285713,81.14285714285714,1.4285714285714286,7.042857142857144,56.85714285714285,29.857142857142858,7.0,29.772392638036813,4852.900000000001,101,0.8803547120391457,0.47431590843073435
459.4,0.0333333333333333,3.6,-2.611111111111111,3.055555555555556,14.444444444444445,6.222222222222222,1.9555555555555555,72.33333333333333,51.04444444444445,9.0,60.21974522292994,9454.5,77,-0.5819390573013983,0.8132323982645797
160.3,2.833333333333333,5.466666666666667,0.2333333333333333,3.1000000000000005,92.0,5.555555555555555,3.155555555555556,72.33333333333333,17.811111111111114,9.0,15.525657894736844,2359.9,101,0.9441778902822481,0.3294360507020493
196.7,4.044444444444444,7.355555555555556,0.8444444444444444,3.122222222222222,53.44444444444444,1.4444444444444444,4.177777777777777,67.55555555555556,21.855555555555554,9.0,17.634969325153374,2874.5,88,0.3710289934393579,0.9286212823467793
156.3,-7.1875,-4.15,-10.5375,3.1875,0.0,0.0,3.75,69.375,19.5375,8.0,22.738414634146345,3729.1,70,-0.6713511629574292,0.7411394038881668
171.9,4.593333333333333,8.366666666666667,1.7600000000000002,2.78,117.6,6.8,4.846666666666667,68.0,11.46,15.0,21.18733333333333,3178.0999999999995,101,0.8415483352280149,0.5401818207557125
494.3,4.7,8.414285714285715,1.2428571428571429,3.442857142857143,47.71428571428572,2.857142857142857,3.7,58.71428571428572,70.61428571428571,7.0,60.21974522292994,9454.5,81,0.41092446060618854,0.9116693960397667
442.1,0.6571428571428571,4.1,-2.771428571428572,3.128571428571429,46.85714285714285,0.7142857142857143,5.928571428571429,60.0,63.15714285714286,7.0,51.85939393939395,8556.800000000001,57,0.9574912678263355,0.2884622540928304
63.3,1.5857142857142856,4.828571428571428,-0.8857142857142856,3.6,79.14285714285714,1.0,3.242857142857144,60.71428571428572,9.042857142857144,7.0,11.14625,891.7,77,0.6338936137408349,0.7734202521647497
261.4,-2.7,0.75,-6.057142857142857,2.621428571428571,12.357142857142858,1.3571428571428572,3.75,67.07142857142857,18.67142857142857,14.0,16.45225806451613,2550.1,68,-0.2821155889830916,0.959380422175022
398.4,1.4,4.0,-1.3857142857142857,2.9714285714285715,11.571428571428571,3.142857142857143,2.271428571428572,66.71428571428571,56.91428571428571,7.0,58.35714285714287,6536.000000000001,75,-0.0407163162897296,0.9991707469635982
356.9,-1.3380952380952382,2.271428571428572,-4.690476190476191,3.647619047619048,95.8095238095238,1.761904761904762,5.042857142857143,62.95238095238095,16.995238095238093,21.0,19.559876543209874,3168.7,97,0.9996828960836431,-0.025181486807173595
242.1,-0.0666666666666666,2.7,-2.266666666666667,3.0,40.5,5.333333333333333,2.333333333333333,67.33333333333333,40.35,6.0,31.936419753086422,5173.700000000001,81,0.1679593480962627,0.9857939223727636
313.1,-4.90952380952381,-1.733333333333333,-8.195238095238095,2.823809523809524,2.095238095238096,0.8095238095238095,2.7285714285714286,69.47619047619048,14.90952380952381,21.0,20.64076433121019,3240.6,101,-0.45312394600299866,0.8914475248485867
471.8,2.619047619047619,5.580952380952381,0.0476190476190475,2.947619047619048,57.42857142857143,8.19047619047619,2.0285714285714285,70.33333333333333,22.46666666666667,21.0,19.559876543209874,3168.7,88,-0.08934232384440534,0.9960009784985562
442.3,2.142857142857143,5.1000000000000005,-0.0142857142857143,3.899999999999999,57.71428571428572,4.714285714285714,1.9285714285714288,77.0,63.18571428571429,7.0,60.26153846153847,9400.8,95,0.4706740230799487,0.8823071823337584
424.5,0.3521739130434781,3.739130434782609,-2.930434782608696,3.130434782608695,34.17391304347826,6.565217391304348,2.61304347826087,68.82608695652173,18.45652173913044,23.0,14.712101910828029,2309.8,65,-0.15023290236551964,0.9886506334630207
349.5,0.5714285714285714,3.7428571428571424,-2.9428571428571426,3.4285714285714284,83.0,0.5714285714285714,7.742857142857143,57.42857142857143,49.92857142857143,7.0,61.0724358974359,9527.3,101,0.8725384551920837,0.4885454372021215
419.7,2.071428571428572,5.880952380952381,-1.2571428571428571,4.161904761904761,120.33333333333331,5.571428571428571,3.2952380952380955,69.61904761904762,19.985714285714284,21.0,19.559876543209874,3168.7,101,0.9452597518592192,0.3263188647857297
153.4,5.069999999999999,7.9,2.31,2.94,66.3,4.6,2.87,66.5,15.34,10.0,10.07142857142857,1057.4999999999998,85,0.7691675918806105,0.6390471153213844
216.2,-1.92,1.4266666666666663,-5.506666666666666,3.4066666666666667,78.66666666666667,1.6666666666666667,5.153333333333334,68.73333333333333,14.413333333333332,15.0,18.058394160583944,2474.0000000000005,101,0.9956371244745268,0.09330978709704366
218.0,3.7,7.828571428571428,0.5857142857142861,3.0285714285714285,122.42857142857144,5.714285714285714,5.257142857142858,65.14285714285714,31.142857142857142,7.0,33.33374233128835,5433.400000000001,101,0.8494009572150993,0.5277480590983475
113.9,-3.8,0.0428571428571428,-7.014285714285714,3.4428571428571426,3.7142857142857135,1.8571428571428568,2.5,67.0,16.271428571428572,7.0,27.24683544303798,4305.000000000001,101,-0.5136829823569868,0.8579800659903652
153.6,1.61,4.71,-1.3000000000000005,3.2299999999999995,25.3,2.9,1.5299999999999998,68.3,15.36,10.0,21.52302631578948,3271.5,81,-0.036328092732880735,0.9993399169844018
122.7,-2.1142857142857143,1.1714285714285713,-5.871428571428572,3.128571428571429,0.1428571428571428,0.1428571428571428,6.014285714285714,59.142857142857146,17.52857142857143,7.0,21.65675675675676,3205.2,89,0.9993467130333981,-0.03614065784325478
231.0,3.907142857142857,6.6571428571428575,1.2214285714285713,2.7785714285714285,54.85714285714285,3.071428571428572,3.885714285714286,62.142857142857146,16.5,14.0,15.576470588235296,2118.4,57,0.553940769853999,0.8325560782875583
199.7,3.02,7.220000000000001,-0.34,3.0200000000000005,91.6,4.0,3.58,68.4,39.94,5.0,23.745625,3799.3,92,0.43131600979526047,0.9022009198035074
176.8,1.3615384615384616,4.3,-1.6153846153846154,4.3,74.15384615384616,2.923076923076923,2.4461538461538463,69.38461538461539,13.6,13.0,10.445625,1671.3,77,0.8138569194270032,0.5810653273951117
259.4,2.457142857142857,4.571428571428571,0.6142857142857142,5.485714285714287,95.42857142857144,8.142857142857142,2.471428571428572,77.14285714285714,37.05714285714286,7.0,27.24683544303798,4305.000000000001,104,0.7870666340852785,0.6168679871007007
225.4,5.346666666666666,8.659999999999998,2.26,3.4399999999999995,60.06666666666667,1.4,4.4,59.93333333333333,15.026666666666667,15.0,11.109756097560975,1822.0,92,0.191544569190775,0.9814839163295139
120.0,3.2400000000000007,5.859999999999999,0.1,4.63,70.5,1.6,3.86,64.7,12.0,10.0,14.363953488372095,1235.3000000000002,76,0.6442342206821241,0.764828261050869
238.6,2.295238095238095,4.757142857142858,0.0190476190476192,3.347619047619048,27.904761904761905,4.571428571428571,2.6095238095238096,71.0,11.361904761904762,21.0,9.87361111111111,1421.8,95,0.18377424705752304,0.9829684766656764
178.3,4.3187500000000005,8.23125,1.0,3.0,64.4375,4.0625,2.84375,72.125,11.14375,16.0,11.68954248366013,1788.4999999999998,104,0.48704474996822017,0.8733770156858914
185.8,1.5142857142857142,4.971428571428571,-1.6952380952380952,3.704761904761904,77.23809523809524,3.142857142857143,3.3142857142857145,67.95238095238095,8.847619047619048,21.0,8.424666666666665,1263.6999999999998,75,0.8573172090100413,0.5147885033052246
360.8,-2.1142857142857143,1.1714285714285713,-5.871428571428572,3.128571428571429,0.1428571428571428,0.1428571428571428,6.014285714285714,59.142857142857146,51.54285714285714,7.0,60.26153846153847,9400.8,89,0.9993187889592398,-0.03690471559351717
156.8,-3.7857142857142856,-1.1142857142857143,-6.657142857142857,2.8285714285714283,1.2857142857142858,0.4285714285714285,2.9285714285714284,68.42857142857143,22.4,7.0,29.772392638036813,4852.900000000001,101,-0.36002281022382976,0.9329435010323702
160.8,-1.6,1.855555555555556,-5.2333333333333325,2.988888888888889,39.44444444444444,0.2222222222222222,6.211111111111111,63.55555555555556,17.866666666666667,9.0,21.65675675675676,3205.2,89,0.8942970229340177,0.44747383696854626
427.7,-2.6142857142857143,0.964285714285714,-5.999999999999999,3.1214285714285714,81.0,0.3571428571428571,6.378571428571428,60.07142857142857,30.55,14.0,35.01623376623377,5392.5,97,0.9981284443931141,-0.061152338413033275
162.4,0.5000000000000001,3.371428571428571,-2.3285714285714287,3.342857142857143,69.14285714285714,1.5714285714285714,5.685714285714285,59.57142857142857,23.2,7.0,28.625641025641023,4465.599999999999,75,0.9126129547643269,0.4088246504264691
195.0,1.1727272727272726,4.181818181818182,-1.1363636363636365,2.4363636363636365,46.36363636363637,8.636363636363637,1.009090909090909,72.54545454545455,17.727272727272727,11.0,16.665333333333333,2499.8,88,-0.23799063105771204,0.9712674500510927
196.2,-3.85,-0.925,-7.025,2.8625,9.125,2.625,3.5375,70.0,24.525,8.0,22.738414634146345,3729.1,68,-0.25129515579287276,0.9679105044760263
195.5,-4.355555555555556,-0.2,-8.433333333333334,2.6,35.111111111111114,0.3333333333333333,7.588888888888889,64.66666666666667,21.72222222222222,9.0,28.310322580645163,4388.1,75,0.9981151248155639,-0.061369354032867134
256.0,4.633333333333334,8.293333333333335,1.5666666666666669,2.813333333333333,106.93333333333334,6.533333333333333,3.28,71.73333333333333,17.066666666666666,15.0,8.472727272727273,1398.0,101,0.7686252803060971,0.6396992875362405
239.7,-2.685714285714285,0.619047619047619,-6.7285714285714295,3.804761904761905,3.333333333333333,1.3333333333333333,4.952380952380953,65.42857142857143,11.414285714285716,21.0,18.54836601307189,2837.9,89,0.9984832858577055,-0.05505567965977318
154.0,6.311111111111111,9.322222222222225,3.822222222222222,2.7111111111111112,64.88888888888889,4.777777777777778,3.844444444444445,66.0,17.11111111111111,9.0,16.665333333333333,2499.8,92,0.3090617590355107,0.9510419702105033
252.4,2.26,5.013333333333334,-0.3533333333333334,3.56,50.93333333333333,5.466666666666667,2.306666666666666,70.06666666666666,16.826666666666668,15.0,18.058394160583944,2474.0000000000005,104,0.16881662545246054,0.9856474760130235
179.1,0.1333333333333333,2.5444444444444443,-2.311111111111112,4.366666666666667,60.77777777777778,4.666666666666667,3.088888888888889,71.0,19.9,9.0,11.305333333333332,1695.8,90,0.26783653984663663,0.9634643677495194
241.2,4.023809523809524,6.795238095238095,1.5761904761904764,2.7047619047619045,45.66666666666666,4.047619047619048,3.038095238095237,66.04761904761905,11.485714285714286,21.0,8.089682539682538,1019.3,64,0.46868702679022156,0.8833642911724144
380.6,-0.9714285714285716,1.5285714285714285,-4.235714285714287,3.092857142857143,2.357142857142857,1.0,2.885714285714286,64.5,27.185714285714287,14.0,30.61856287425149,5113.299999999999,96,-0.3479249051261416,0.9375224052751835
219.5,-0.3999999999999999,3.0625,-3.7875,3.625,59.375,1.25,5.1625000000000005,63.0,27.4375,8.0,22.738414634146345,3729.1,57,0.9354000183832493,0.35359129741640566
227.7,0.675,4.3,-2.3125,2.5625,56.75,8.5,2.4250000000000003,70.875,28.4625,8.0,28.625641025641023,4465.599999999999,65,-0.1381987057540719,0.9904045222674922
446.0,4.857142857142857,7.471428571428572,1.971428571428572,3.8285714285714287,57.71428571428572,2.4285714285714284,5.014285714285714,61.42857142857143,63.71428571428572,7.0,52.44424242424244,8653.300000000003,88,0.7055418703976073,0.7086682362825681
196.2,-4.491666666666666,0.3166666666666666,-9.05,3.1166666666666667,31.666666666666668,1.25,8.391666666666667,56.16666666666666,16.349999999999998,12.0,22.1196261682243,2366.8,92,0.9960542726703642,-0.0887461880596109
407.8,0.7107142857142856,4.228571428571429,-2.6750000000000003,3.942857142857143,66.46428571428571,3.321428571428572,4.121428571428571,64.21428571428571,14.564285714285717,28.0,16.14294478527607,2631.3,88,0.9761852776921744,0.21693847887604514
275.1,-2.3285714285714283,1.171428571428572,-6.023809523809524,3.633333333333333,1.0476190476190477,0.5714285714285714,3.58095238095238,65.0952380952381,13.1,21.0,14.778169014084508,2098.5,65,-0.49460327059967013,0.8691188668485511
303.5,4.96,8.12,2.3500000000000005,2.33,71.2,1.7,2.66,68.9,30.35,10.0,12.85290322580645,1992.2,71,0.28622065467342445,0.9581637317485547
237.4,-2.86,0.54,-6.290000000000001,3.75,19.4,2.7,5.33,64.3,23.74,10.0,22.738414634146345,3729.1,57,0.9974488711771116,0.07138451784179696
238.5,1.6909090909090914,4.418181818181818,-0.7181818181818183,3.5000000000000004,83.63636363636364,6.090909090909091,2.4636363636363634,74.45454545454545,21.681818181818183,11.0,14.491925465838507,2333.2,90,0.42710359174750295,0.9042026995737086
122.1,-4.819999999999999,-1.0666666666666669,-8.726666666666668,3.206666666666666,22.6,0.0666666666666666,6.760000000000001,60.266666666666666,8.139999999999999,15.0,8.100680272108843,1190.8,77,0.9968438530597178,0.07938723207831146
428.6,1.3,4.742857142857142,-1.1,2.5142857142857147,45.285714285714285,10.714285714285714,1.0285714285714287,74.14285714285714,61.22857142857144,7.0,56.28311688311688,8667.6,88,-0.2868615991288331,0.9579720366196753
345.5,1.3722222222222222,4.516666666666667,-1.4333333333333331,3.822222222222222,48.05555555555556,4.388888888888889,2.8666666666666667,70.38888888888889,19.194444444444443,18.0,12.358064516129032,1915.5,90,0.19846463129933212,0.9801080502287592
256.2,0.8400000000000001,3.4133333333333336,-1.5199999999999996,2.8466666666666662,33.86666666666667,4.733333333333333,2.64,69.06666666666666,17.08,15.0,16.24827586206896,2355.9999999999995,81,0.185983796010256,0.9825528116196175
295.2,3.26,6.6866666666666665,0.6133333333333334,3.5,89.8,6.0,2.5866666666666664,74.13333333333334,19.68,15.0,16.273758865248226,2294.6,92,0.5086065757935644,0.8609990424266134
464.8,3.1142857142857143,6.071428571428571,0.5142857142857143,3.4857142857142853,89.0,7.428571428571429,3.0142857142857147,75.42857142857143,66.4,7.0,56.28311688311688,8667.6,92,0.40013563866899804,0.9164559294733997
89.3,0.8666666666666667,3.066666666666667,-1.4888888888888887,2.344444444444444,31.11111111111111,5.222222222222222,1.933333333333333,72.88888888888889,9.922222222222222,9.0,10.07142857142857,1057.4999999999998,81,0.1012318877893788,0.9948628573298928
172.2,0.7230769230769231,3.076923076923077,-1.446153846153846,2.761538461538461,24.846153846153847,5.230769230769231,1.9769230769230768,71.92307692307692,13.246153846153844,13.0,15.525657894736844,2359.9,101,-0.01852537542111183,0.9998283905078446
161.1,-0.7999999999999999,1.3571428571428572,-4.257142857142857,3.3857142857142857,0.0,0.0,3.642857142857143,59.85714285714285,23.014285714285712,7.0,27.66178343949044,4342.9,96,-0.4268443275715945,0.9043251185386555
117.0,-5.728571428571429,-1.5142857142857142,-9.935714285714283,3.492857142857143,20.0,0.0,7.200000000000002,58.285714285714285,8.357142857142858,14.0,21.52302631578948,3271.5,88,0.9996549300651556,-0.026268246923404782
215.3,4.94,8.37,1.6900000000000002,3.65,59.3,1.9,4.139999999999999,61.1,21.53,10.0,23.67739726027397,3456.9,92,0.1347666781340095,0.9908773599516362
549.9,5.260000000000001,8.37,2.4466666666666668,3.3466666666666662,65.8,3.633333333333333,3.853333333333333,63.63333333333333,18.33,30.0,11.356209150326798,1737.5,92,0.26901495338556597,0.9631360001863505
192.9,-0.9214285714285716,2.435714285714286,-4.185714285714286,3.4428571428571426,94.07142857142856,2.0,5.707142857142857,61.642857142857146,13.778571428571428,14.0,16.665333333333333,2499.8,97,0.9999813743001318,0.006103364057607227
203.7,1.776190476190476,4.471428571428571,-0.3428571428571429,2.58095238095238,15.523809523809524,3.7142857142857135,2.2142857142857144,73.95238095238095,9.7,21.0,8.002758620689656,1160.4,95,-0.09690955937200497,0.9952931916286396
125.2,-1.6333333333333333,1.6666666666666667,-4.711111111111111,2.966666666666667,15.22222222222222,2.6666666666666665,3.3666666666666667,65.77777777777777,13.911111111111111,9.0,16.649700598802394,2780.5,68,-0.37965033957630573,0.9251300555379204
180.8,2.086666666666667,5.3,-1.0066666666666668,3.2066666666666666,88.6,1.8,5.666666666666667,64.93333333333334,12.053333333333336,15.0,11.336969696969698,1870.6,101,0.9123861982811442,0.4093304596363195
194.5,0.3761904761904762,3.947619047619048,-3.0142857142857142,3.195238095238095,33.80952380952381,5.523809523809524,2.6952380952380954,68.52380952380952,9.261904761904765,21.0,8.046938775510203,1182.9,65,-0.17317403286773475,0.9848912398535814
464.3,3.15,6.285714285714286,0.4214285714285715,3.4285714285714284,55.642857142857146,4.428571428571429,3.5142857142857147,71.21428571428571,33.16428571428572,14.0,32.08903225806451,4973.799999999999,88,0.20558525993890506,0.9786392087464373
490.0,-0.0210526315789474,2.721052631578947,-2.784210526315789,3.389473684210526,13.0,5.105263157894737,2.18421052631579,68.73684210526316,25.789473684210527,19.0,27.603973509933773,4168.2,88,-0.33983241024146754,0.9404860089068178
188.1,1.95,6.050000000000001,-1.6,3.333333333333333,84.83333333333333,5.666666666666667,5.250000000000001,65.66666666666667,31.35,6.0,28.625641025641023,4465.599999999999,75,0.8569295253435514,0.5154335928075272
279.7,1.11,4.8,-2.24,3.28,77.2,3.2,5.62,62.6,27.97,10.0,12.85290322580645,1992.2,75,0.8983983963296325,0.43918142204827454
421.3,3.2571428571428567,7.1000000000000005,-1.3142857142857145,4.3571428571428585,67.57142857142857,4.428571428571429,3.2142857142857144,65.28571428571429,60.18571428571429,7.0,61.0724358974359,9527.3,104,0.562300988773221,0.8269326441885445
179.8,-2.657142857142857,-0.4428571428571428,-5.057142857142858,3.6571428571428575,0.0,0.0,0.6,69.14285714285714,25.685714285714287,7.0,28.21491228070176,3216.5000000000005,75,-0.36226642761493055,0.9320745868347212
416.7,-1.6571428571428573,2.0285714285714285,-5.171428571428572,2.9142857142857146,39.71428571428572,0.1428571428571428,7.185714285714285,61.57142857142857,59.52857142857143,7.0,60.26153846153847,9400.8,89,0.887840002648415,0.4601522896794738
613.7,5.28,8.366666666666667,2.226666666666666,3.26,53.86666666666667,1.6,4.713333333333333,63.13333333333333,40.91333333333333,15.0,32.08903225806451,4973.799999999999,88,0.4490276248443785,0.8935178745423149
200.5,1.7785714285714285,5.15,-1.05,3.6071428571428577,50.785714285714285,2.9285714285714284,2.8857142857142866,68.42857142857143,14.321428571428571,14.0,15.576470588235296,2118.4,57,0.7368956696932201,0.6760064881252107
248.0,4.736363636363636,7.963636363636365,1.9,2.3454545454545457,71.9090909090909,1.9090909090909087,2.9909090909090907,69.72727272727273,22.545454545454547,11.0,17.84551282051282,2783.9,71,0.2710302107067929,0.9625708414886831
372.8,-0.3285714285714285,2.8428571428571425,-3.4428571428571426,3.271428571428572,76.14285714285714,3.2857142857142856,5.285714285714286,69.42857142857143,53.25714285714286,7.0,58.35714285714287,6536.000000000001,86,0.79532636079509,0.6061814743329247
256.5,-5.842857142857142,-3.228571428571428,-8.842857142857143,2.2142857142857144,0.0,0.0,1.657142857142857,69.57142857142857,36.642857142857146,7.0,51.85939393939395,8556.800000000001,70,-0.7569831591727749,0.6534343859400156
240.2,4.346666666666667,7.9,1.28,2.453333333333333,77.2,3.6,2.6666666666666665,70.13333333333334,16.013333333333332,15.0,10.445625,1671.3,71,0.4472334396763288,0.8944172686365573
471.0,2.007692307692308,5.776923076923077,-0.976923076923077,4.115384615384617,118.92307692307692,5.076923076923077,3.623076923076922,70.3076923076923,36.23076923076923,13.0,35.01623376623377,5392.5,101,0.9072262764025407,0.42064294051461354
206.9,4.085714285714285,6.914285714285716,1.5857142857142856,4.371428571428572,91.14285714285714,8.285714285714286,2.742857142857144,68.42857142857143,29.557142857142857,7.0,23.745625,3799.3,101,0.6347414246106228,0.7727246106364655
