customer_id,supplied_at,volume,size
981.0,2021-03-01 11:20:00,38.3,198
981.0,2021-11-17 10:48:00,33.8,198
981.0,2021-11-26 10:32:00,101.4,198
981.0,2021-12-10 12:41:00,61.2,198
981.0,2021-12-25 12:55:00,90.5,198
981.0,2022-01-07 19:26:00,111.9,198
981.0,2022-01-22 10:45:00,87.0,198
981.0,2022-02-09 13:27:00,115.9,198
981.0,2022-03-03 12:50:00,131.2,198
1081.0,2020-11-11 14:44:00,76.3,400
1081.0,2020-11-27 09:37:00,38.3,400
1081.0,2020-12-14 10:43:00,55.2,400
1081.0,2020-12-30 08:44:00,74.8,400
1081.0,2021-01-15 14:20:00,55.1,400
1081.0,2021-02-05 14:28:00,98.2,400
1081.0,2021-03-05 10:56:00,97.3,400
1081.0,2021-11-22 10:26:00,50.6,400
1081.0,2021-12-07 10:58:00,58.7,400
1081.0,2021-12-23 13:14:00,38.4,400
1081.0,2022-01-11 17:10:00,72.2,400
1081.0,2022-02-02 13:56:00,113.0,400
1081.0,2022-02-24 19:50:00,97.1,400
1601.0,2020-11-23 08:07:00,285.3,446
1601.0,2020-12-10 15:12:00,177.9,446
1601.0,2020-12-22 10:11:00,252.7,446
1601.0,2021-01-06 11:35:00,257.6,446
1601.0,2021-01-19 14:59:00,198.7,446
1601.0,2021-02-01 15:22:00,217.3,446
1601.0,2021-02-16 08:02:00,243.7,446
1601.0,2021-03-01 08:15:00,220.6,446
1601.0,2021-03-12 16:08:00,163.2,446
1601.0,2021-03-25 15:04:00,129.9,446
1601.0,2021-04-19 08:01:00,252.0,446
1601.0,2021-11-26 07:56:00,146.1,446
1601.0,2021-12-10 16:29:00,239.1,446
1601.0,2021-12-28 14:20:00,263.7,446
1601.0,2022-01-18 08:44:00,307.4,446
1601.0,2022-02-05 17:38:00,228.5,446
1601.0,2022-03-02 07:02:00,309.3,446
1671.0,2020-11-20 07:28:00,105.4,198
1671.0,2020-12-01 06:58:00,70.7,198
1671.0,2020-12-15 07:03:00,100.2,198
