,customer_id,index,tank_type_id,supplied_at,volume,purpose
2686,1045,14485,3,2016-02-01 11:10:00,512.8,
2687,1045,14486,3,2016-02-10 13:08:00,427.9,
2688,1045,14487,3,2016-02-19 12:02:00,419.2,
2689,1045,14488,3,2016-02-29 13:37:00,491.0,
2690,1045,14489,3,2016-03-09 11:06:00,376.5,
2691,1045,14490,3,2016-03-17 13:24:00,270.8,
2692,1045,14491,3,2016-03-29 11:07:00,457.0,
2693,1045,14492,3,2016-04-08 10:24:00,207.8,
2694,1045,14493,3,2016-04-28 11:24:00,435.5,
2695,1045,14496,3,2016-11-01 12:49:00,444.4,
2696,1045,14497,3,2016-11-12 13:58:00,403.9,
2697,1045,14498,3,2016-11-21 12:56:00,284.3,
2698,1045,14499,3,2016-12-01 10:56:00,392.1,
2699,1045,14500,3,2016-12-15 10:19:00,637.2,
2700,1045,14501,3,2016-12-26 11:04:00,486.8,
2701,1045,14502,3,2017-01-04 10:55:00,390.7,
2702,1045,14503,3,2017-01-17 11:48:00,622.6,
2703,1045,14504,3,2017-01-27 12:33:00,490.9,
2704,1045,14505,3,2017-02-06 09:33:00,474.0,
2705,1045,14506,3,2017-02-16 12:26:00,418.7,
2706,1045,14507,3,2017-02-24 12:12:00,359.8,
2707,1045,14508,3,2017-03-06 10:49:00,420.1,
2708,1045,14509,3,2017-03-15 12:53:00,336.1,
2709,1045,14510,3,2017-03-25 13:50:00,337.8,
2710,1045,14511,3,2017-04-04 11:49:00,312.6,
2711,1045,14512,3,2017-04-25 13:42:00,483.7,
2712,1045,14516,3,2017-11-06 10:02:00,234.1,
2713,1045,14517,3,2017-11-20 13:00:00,387.4,
2714,1045,14518,3,2017-11-30 11:09:00,412.8,
2715,1045,14519,3,2017-12-11 10:43:00,499.7,
2716,1045,14520,3,2017-12-21 11:15:00,461.3,
2717,1045,14521,3,2017-12-29 10:05:00,356.6,
2718,1045,14522,3,2018-01-06 12:30:00,338.1,
2719,1045,14523,3,2018-01-16 12:17:00,414.5,
2720,1045,14524,3,2018-01-26 10:15:00,479.4,
2721,1045,14525,3,2018-02-03 09:12:00,363.2,
2722,1045,14526,3,2018-02-13 12:02:00,479.9,
2723,1045,14527,3,2018-02-23 12:16:00,473.8,
2724,1045,14528,3,2018-03-05 10:05:00,446.0,
2725,1045,14529,3,2018-03-15 11:02:00,358.2,
2726,1045,14530,3,2018-03-29 10:29:00,400.9,
2727,1045,14531,3,2018-04-05 11:29:00,167.4,
2728,1045,14532,3,2018-04-26 10:53:00,399.8,
2729,1045,14535,3,2018-11-06 12:16:00,114.5,
2730,1045,14536,3,2018-11-21 12:52:00,249.8,
2731,1045,14537,3,2018-12-03 12:16:00,370.5,
2732,1045,14538,3,2018-12-13 05:34:00,357.9,
2733,1045,14539,3,2018-12-25 14:51:00,516.0,
2734,1045,14540,3,2019-01-04 10:18:00,451.0,
2735,1045,14541,3,2019-01-14 04:57:00,464.8,
2736,1045,14542,3,2019-01-25 05:33:00,474.0,
2737,1045,14543,3,2019-02-04 15:08:00,462.3,
2738,1045,14544,3,2019-02-15 12:13:00,566.1,
2739,1045,14545,3,2019-02-25 05:14:00,407.7,
2740,1045,14546,3,2019-03-07 06:34:00,314.4,
2741,1045,14547,3,2019-03-15 05:47:00,272.1,
2742,1045,14548,3,2019-03-26 11:17:00,396.9,
2743,1045,14549,3,2019-04-05 12:51:00,316.9,
2744,1045,14550,3,2019-04-25 10:11:00,234.7,
