,id,supplied_at,予測値,真値(給油量L),誤差(予測-真値),EE((予測-真値)/真値),interval,matemp,mltemp,mhtemp,tank_type_id,タンク容量,推定の残量,実際の残量,推定残日数,可能な残日数,残日数EE,label,pre
175,826,2015-11-27 15:22:00,219.5,250.0,-30.5,-0.122,21.0,4.6,2.0,7.3,1,496,276.5,246.0,26.5,20.7,0.28,1,1
176,826,2016-03-31 11:05:00,226.4,241.4,-15.0,-0.062,21.0,3.2,-0.9,7.1,1,496,269.6,254.6,25.0,22.1,0.131,0,1
177,826,2016-12-26 10:24:00,347.6,343.0,4.6,0.013,21.0,-1.8,-5.0,1.4,1,496,148.39999999999998,153.0,9.0,9.4,-0.043,1,1
178,826,2017-02-06 09:07:00,344.3,377.0,-32.7,-0.087,20.0,-3.7,-6.8,-0.8,1,496,151.7,119.0,8.8,6.3,0.397,1,1
179,826,2017-03-21 05:55:00,278.6,298.2,-19.6,-0.066,21.0,1.0,-1.8,4.0,1,496,217.39999999999998,197.8,16.4,13.9,0.18,1,1
180,826,2017-12-07 16:23:00,261.8,333.1,-71.3,-0.214,21.0,-0.7,-4.1,2.0,1,496,234.2,162.89999999999998,18.8,10.3,0.825,1,1
181,826,2018-03-21 12:22:00,220.4,312.3,-91.9,-0.294,20.0,0.6,-2.8,4.1,1,496,275.6,183.7,25.0,11.8,1.119,1,1
