,id,supplied_at,予測値,真値(給油量L),誤差(予測-真値),EE((予測-真値)/真値),interval,matemp,mltemp,mhtemp,tank_type_id,タンク容量,推定の残量,実際の残量,推定残日数,可能な残日数,残日数EE,label,pre
110,1051,2017-12-20 08:02:00,298.5,228.2,70.3,0.308,29.0,-1.5,-4.7,1.3,3,500,201.5,271.8,19.6,34.5,-0.432,0,1
111,1051,2018-04-18 12:01:00,199.1,70.1,129.0,1.84,29.0,5.7,1.8,10.0,3,500,300.9,429.9,43.8,177.8,-0.754,0,1
112,1051,2019-01-11 12:11:00,306.1,277.4,28.7,0.103,30.0,-1.8,-4.4,0.5,3,500,193.89999999999998,222.60000000000002,19.0,24.1,-0.212,1,1
113,1051,2019-03-08 08:23:00,228.7,254.4,-25.7,-0.101,28.0,-0.7,-4.1,2.5,3,500,271.3,245.6,33.2,27.0,0.23,1,1
