,customer_id,supplied_at,volume,interval,matemp,mltemp,mhtemp,tank_type_id
355,624,2015-12-15 10:13:00,201.0,24.0,2.0,-1.1,4.9,1
356,624,2016-01-05 07:12:00,182.4,21.0,-0.8,-3.3,1.5,1
357,624,2016-01-28 07:18:00,242.9,23.0,-3.8,-6.4,-1.4,1
358,624,2016-02-18 07:03:00,195.9,21.0,-2.6,-5.7,0.1,1
359,624,2016-03-10 08:45:00,185.3,21.0,-1.5,-4.8,1.8,1
360,624,2016-11-26 08:17:00,178.0,22.0,2.2,-1.0,5.8,1
361,624,2016-12-17 09:20:00,185.2,21.0,-0.4,-3.6,2.8,1
362,624,2017-01-10 06:57:00,194.5,24.0,-1.8,-5.0,1.2,1
363,624,2017-01-31 07:33:00,205.4,21.0,-4.6,-7.8,-1.9,1
364,624,2017-02-21 09:07:00,190.2,21.0,-2.0,-4.9,1.0,1
365,624,2017-03-14 08:36:00,184.3,21.0,-0.7,-4.1,2.5,1
366,624,2017-11-30 09:12:00,168.9,22.0,2.2,-1.3,5.5,1
367,624,2017-12-21 09:51:00,185.8,21.0,-2.3,-5.3,0.3,1
368,624,2018-01-11 07:26:00,151.4,21.0,-0.8,-3.7,1.9,1
369,624,2018-02-02 07:58:00,171.1,22.0,-4.0,-7.3,-1.1,1
370,624,2018-02-27 08:43:00,207.0,25.0,-4.1,-7.3,-1.1,1
371,624,2018-03-20 08:54:00,128.9,21.0,0.5,-3.0,3.8,1
372,624,2018-11-27 09:23:00,123.4,26.0,7.0,3.8,10.3,1
373,624,2018-12-18 07:11:00,152.1,21.0,-0.4,-3.4,2.2,1
374,624,2019-01-08 08:43:00,162.0,21.0,-2.2,-4.8,0.1,1
375,624,2019-01-29 07:16:00,163.3,21.0,-3.0,-5.9,-0.3,1
376,624,2019-02-19 09:31:00,182.2,21.0,-4.2,-7.3,-1.3,1
377,624,2019-03-12 06:20:00,125.0,21.0,1.9,-1.8,5.3,1
