,customer_id,supplied_at,volume,interval,matemp,mltemp,mhtemp,tank_type_id
89,725,2012-11-20 14:05:00,116.5,11.0,6.1,3.5,8.9,1
90,725,2012-12-06 11:10:00,312.0,16.0,0.9,-1.8,3.9,1
91,725,2012-12-20 07:14:00,318.2,14.0,-1.7,-4.6,0.6,1
92,725,2013-01-05 10:01:00,429.1,16.0,-4.9,-8.1,-2.0,1
93,725,2013-01-15 10:03:00,289.7,10.0,-6.2,-9.3,-3.5,1
94,725,2013-01-25 14:02:00,285.1,10.0,-3.8,-7.1,-1.0,1
95,725,2013-02-04 07:54:00,287.2,10.0,-2.4,-6.2,0.5,1
96,725,2013-02-14 07:16:00,305.8,10.0,-4.4,-8.1,-1.2,1
97,725,2013-02-25 09:17:00,325.1,11.0,-5.4,-9.0,-2.7,1
98,725,2013-03-07 11:31:00,271.8,10.0,-0.8,-4.5,2.3,1
99,725,2013-03-18 05:29:00,260.0,11.0,-0.4,-4.4,3.5,1
100,725,2013-03-28 06:19:00,196.4,10.0,0.5,-2.7,3.8,1
101,725,2013-04-09 06:45:00,303.0,12.0,4.8,1.2,8.0,1
102,725,2013-11-18 07:25:00,147.4,12.0,5.6,2.0,9.7,1
103,725,2013-11-28 06:36:00,154.9,10.0,5.6,2.3,9.0,1
104,725,2013-12-07 06:59:00,163.6,9.0,2.6,0.3,5.3,1
105,725,2013-12-17 06:58:00,237.4,10.0,1.3,-1.2,3.8,1
106,725,2013-12-26 05:52:00,220.3,9.0,-0.5,-2.9,1.7,1
107,725,2014-01-07 05:55:00,280.8,12.0,-1.8,-4.7,0.8,1
108,725,2014-01-17 05:09:00,327.2,10.0,-5.3,-8.0,-2.7,1
109,725,2014-01-28 06:59:00,324.3,11.0,-4.4,-8.3,-1.3,1
110,725,2014-02-07 06:04:00,312.2,10.0,-4.7,-8.3,-0.7,1
111,725,2014-02-18 06:02:00,354.0,11.0,-4.2,-7.4,-1.3,1
112,725,2014-02-27 06:08:00,285.8,9.0,-1.6,-5.4,1.8,1
113,725,2014-03-07 05:39:00,199.5,8.0,-2.7,-4.9,-0.2,1
114,725,2014-03-18 05:20:00,269.9,11.0,-1.0,-3.7,1.9,1
115,725,2014-03-28 10:57:00,208.0,10.0,3.1,-0.8,7.4,1
116,725,2014-04-07 06:58:00,194.3,10.0,4.5,1.5,7.7,1
117,725,2014-11-18 06:36:00,146.5,13.0,5.5,1.9,9.2,1
118,725,2014-11-28 09:39:00,128.0,10.0,4.9,0.8,9.0,1
119,725,2014-12-08 09:49:00,145.5,10.0,0.8,-1.6,4.3,1
120,725,2014-12-18 05:37:00,193.5,10.0,-1.7,-4.7,0.7,1
121,725,2014-12-27 07:23:00,224.5,9.0,-2.5,-6.4,0.7,1
122,725,2015-01-07 06:35:00,222.2,11.0,-1.8,-5.5,1.4,1
123,725,2015-01-22 05:50:00,295.1,15.0,-1.3,-3.9,1.3,1
124,725,2015-02-05 07:23:00,279.5,14.0,-1.9,-4.5,0.5,1
