,id,supplied_at,予測値,真値(給油量L),誤差(予測-真値),EE((予測-真値)/真値),interval,matemp,mltemp,mhtemp,tank_type_id,タンク容量,推定の残量,実際の残量,推定残日数,可能な残日数,残日数EE,label,pre
79,624,2018-01-11 07:26:00,216.5,151.4,65.1,0.43,21.0,-0.8,-3.7,1.9,1,496,279.5,344.6,27.1,47.8,-0.433,0,1
80,624,2018-02-27 08:43:00,260.6,207.0,53.6,0.259,25.0,-4.1,-7.3,-1.1,1,496,235.39999999999998,289.0,22.6,34.9,-0.352,0,1
81,624,2018-12-18 07:11:00,169.3,152.1,17.2,0.113,21.0,-0.4,-3.4,2.2,1,496,326.7,343.9,40.5,47.5,-0.147,0,1
82,624,2019-02-19 09:31:00,205.7,182.2,23.5,0.129,21.0,-4.2,-7.3,-1.3,1,496,290.3,313.8,29.6,36.2,-0.182,0,1
83,624,2019-03-12 06:20:00,120.8,125.0,-4.2,-0.034,21.0,1.9,-1.8,5.3,1,496,375.2,371.0,65.2,62.3,0.047,0,1
