,customer_id,supplied_at,volume,interval,matemp,mltemp,mhtemp,tank_type_id
876,826,2015-11-27 15:22:00,250.0,21.0,4.6,2.0,7.3,1
877,826,2015-12-18 11:19:00,266.3,21.0,2.5,-0.6,5.5,1
878,826,2016-01-09 08:43:00,353.8,22.0,-1.6,-4.0,0.6,1
879,826,2016-01-30 14:49:00,334.5,21.0,-4.1,-7.0,-1.6,1
880,826,2016-02-18 14:11:00,323.1,19.0,-2.3,-5.5,0.5,1
881,826,2016-03-10 10:22:00,345.7,21.0,-1.5,-4.8,1.8,1
882,826,2016-03-31 11:05:00,241.4,21.0,3.2,-0.9,7.1,1
883,826,2016-12-05 06:08:00,287.4,21.0,2.2,-1.0,5.7,1
884,826,2016-12-26 10:24:00,343.0,21.0,-1.8,-5.0,1.4,1
885,826,2017-01-17 06:09:00,394.2,22.0,-3.8,-6.8,-1.1,1
886,826,2017-02-06 09:07:00,377.0,20.0,-3.7,-6.8,-0.8,1
887,826,2017-02-28 05:51:00,357.9,22.0,-1.8,-5.1,1.2,1
888,826,2017-03-21 05:55:00,298.2,21.0,1.0,-1.8,4.0,1
889,826,2017-12-07 16:23:00,333.1,21.0,-0.7,-4.1,2.0,1
890,826,2017-12-29 10:29:00,366.5,22.0,-1.8,-5.0,1.1,1
891,826,2018-01-19 12:22:00,318.2,21.0,-0.9,-3.7,1.5,1
892,826,2018-02-07 07:58:00,352.4,19.0,-4.9,-8.4,-1.8,1
893,826,2018-03-01 06:10:00,360.9,22.0,-4.0,-7.3,-1.0,1
894,826,2018-03-21 12:22:00,312.3,20.0,0.6,-2.8,4.1,1
895,826,2018-12-04 06:04:00,209.6,21.0,4.2,1.0,7.2,1
896,826,2018-12-24 06:31:00,330.9,20.0,-1.6,-4.3,0.7,1
897,826,2019-01-12 09:26:00,331.4,19.0,-2.7,-5.3,-0.4,1
898,826,2019-01-31 05:49:00,315.9,19.0,-3.2,-6.4,-0.3,1
899,826,2019-02-22 09:01:00,375.9,22.0,-3.5,-6.4,-0.8,1
900,826,2019-03-15 06:01:00,263.6,21.0,1.9,-1.7,5.3,1
