date,average_tem,snow(cm)
2009/9/2,19.8,0
2009/9/3,18.9,0
2009/9/4,19.2,0
2009/9/5,20.3,0
2009/9/6,20.7,0
2009/9/7,20.1,0
2009/9/8,18.3,0
2009/9/9,17,0
2009/9/10,16.9,0
2009/9/11,18.3,0
2009/9/12,19.3,0
2009/9/13,18.3,0
2009/9/14,19.1,0
2009/9/15,18.1,0
2009/9/16,17.5,0
2009/9/17,17,0
2009/9/18,17.5,0
2009/9/19,17,0
2009/9/20,15.5,0
2009/9/21,13.6,0
2009/9/22,17.7,0
2009/9/23,17.7,0
2009/9/24,16.9,0
2009/9/25,18.1,0
2009/9/26,16.2,0
2009/9/27,15.2,0
2009/9/28,16.1,0
2009/9/29,16.9,0
2009/9/30,17.9,0
2009/10/1,16.7,0
2009/10/2,17.3,0
2009/10/3,17.8,0
2009/10/4,15.1,0
2009/10/5,14.3,0
2009/10/6,14.9,0
2009/10/7,12.5,0
2009/10/8,9.9,0
2009/10/9,10.8,0
2009/10/10,11,0
2009/10/11,9.8,0
2009/10/12,12.3,0
2009/10/13,12.7,0
2009/10/14,11.4,0
2009/10/15,12.1,0
2009/10/16,11.4,0
2009/10/17,15,0
2009/10/18,15.9,0
2009/10/19,15,0
2009/10/20,14,0
2009/10/21,11.4,0
2009/10/22,9.7,0
2009/10/23,9.4,0
2009/10/24,10.3,0
2009/10/25,10.3,0
2009/10/26,12.9,0
2009/10/27,12.9,0
2009/10/28,10.8,0
2009/10/29,13.4,0
2009/10/30,10.4,0
2009/10/31,4.7,0
2009/11/1,4.6,0
2009/11/2,0.4,0
2009/11/3,1.5,0
2009/11/4,10.3,0
2009/11/5,9.9,0
2009/11/6,8.9,0
2009/11/7,13.8,0
2009/11/8,13.9,0
2009/11/9,11.5,0
2009/11/10,5.5,0
2009/11/11,2.6,0
2009/11/12,2.6,0
2009/11/13,4,0
2009/11/14,6,0
2009/11/15,7.3,0
2009/11/16,4.5,0
2009/11/17,3.5,0
2009/11/18,1.9,0
2009/11/19,1.9,0
2009/11/20,0.7,0
2009/11/21,0.8,2
2009/11/22,3,0
2009/11/23,5.9,0
2009/11/24,6.2,0
2009/11/25,5.9,0
2009/11/26,4.1,0
2009/11/27,4.5,0
2009/11/28,1.3,6
2009/11/29,2,0
2009/11/30,4.2,0
2009/12/1,3,0
2009/12/2,2.9,0
2009/12/3,0.6,1
2009/12/4,-1.3,0
2009/12/5,0.8,0
2009/12/6,4.8,0
2009/12/7,1,0
2009/12/8,2.4,0
2009/12/9,3,0
2009/12/10,1.6,0
2009/12/11,0.9,0
2009/12/12,4.7,0
2009/12/13,0.7,0
2009/12/14,-2.7,0
2009/12/15,-4.9,3
2009/12/16,-4.3,1
2009/12/17,-4.8,1
2009/12/18,-4.3,13
2009/12/19,-3,3
2009/12/20,-4.6,4
2009/12/21,-4.1,22
2009/12/22,-2.5,1
2009/12/23,-1.4,5
2009/12/24,-1.8,9
2009/12/25,-3.6,10
2009/12/26,-4.1,2
2009/12/27,-0.7,3
2009/12/28,0.4,3
2009/12/29,-1.1,0
2009/12/30,-1.7,9
2009/12/31,1.2,8
2010/1/1,-0.1,5
2010/1/2,1.2,6
2010/1/3,-0.8,1
2010/1/4,0.7,6
2010/1/5,-1.6,3
2010/1/6,2.3,0
2010/1/7,0.5,0
2010/1/8,-2.2,10
2010/1/9,-1.1,1
2010/1/10,-2.5,2
2010/1/11,-3.4,2
2010/1/12,-3.5,6
2010/1/13,-3.4,16
2010/1/14,-4.5,0
2010/1/15,-6.5,7
2010/1/16,-6.5,13
2010/1/17,-4.6,14
2010/1/18,-1.8,0
2010/1/19,-0.6,1
2010/1/20,2.2,8
2010/1/21,-5.9,10
2010/1/22,-6.1,0
2010/1/23,-2.9,5
2010/1/24,-1.1,2
2010/1/25,-0.1,7
2010/1/26,-5.9,7
2010/1/27,0.8,1
2010/1/28,1,3
2010/1/29,-3.4,10
2010/1/30,-2.4,0
2010/1/31,0.5,8
2010/2/1,-5.1,1
2010/2/2,-7.1,1
2010/2/3,-10.7,7
2010/2/4,-8.8,0
2010/2/5,-9.2,5
2010/2/6,-7.3,15
2010/2/7,-0.6,7
2010/2/8,0.3,0
2010/2/9,-1,1
2010/2/10,-3.2,1
2010/2/11,-3.3,0
2010/2/12,-5.3,9
2010/2/13,-6.3,3
2010/2/14,-5.3,4
2010/2/15,-4.7,1
2010/2/16,-5.9,24
2010/2/17,-5.9,0
2010/2/18,-3.5,2
2010/2/19,-1.5,6
2010/2/20,-3.3,4
2010/2/21,-2.4,2
2010/2/22,-0.2,1
2010/2/23,1.9,1
2010/2/24,2.8,0
2010/2/25,5.8,0
2010/2/26,3.2,0
2010/2/27,-1.8,0
2010/2/28,-1.6,4
2010/3/1,-3.5,4
2010/3/2,-3,3
2010/3/3,-0.7,6
2010/3/4,0,0
2010/3/5,1.6,14
2010/3/6,1.2,0
2010/3/7,-3.2,20
2010/3/8,-4.2,1
2010/3/9,-2.8,0
2010/3/10,-1.8,0
2010/3/11,0.1,0
2010/3/12,2.1,0
2010/3/13,0.9,7
2010/3/14,-2.3,3
2010/3/15,-0.2,1
2010/3/16,2.5,5
2010/3/17,-2.3,7
2010/3/18,-1.4,3
2010/3/19,1.9,3
2010/3/20,3.1,3
2010/3/21,3.5,7
