"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年3月28日","51.33","50.77","51.87","50.77","186.41K","1.14%"
"2017年3月27日","50.75","51.03","51.10","50.03","195.52K","-0.10%"
"2017年3月24日","50.80","50.64","51.06","50.40","215.34K","0.47%"
"2017年3月23日","50.56","50.83","51.10","50.25","320.21K","-0.16%"
"2017年3月22日","50.64","50.86","50.98","49.71","327.91K","-0.63%"
"2017年3月21日","50.96","51.70","52.22","50.73","291.71K","-1.28%"
"2017年3月20日","51.62","51.80","51.94","51.01","239.25K","-0.27%"
"2017年3月17日","51.76","51.74","52.18","51.53","220.35K","0.04%"
"2017年3月16日","51.74","52.08","52.65","51.50","281.53K","-0.14%"
"2017年3月15日","51.81","51.50","52.15","51.36","327.90K","1.75%"
"2017年3月14日","50.92","51.34","51.86","50.25","411.63K","-0.84%"
"2017年3月13日","51.35","51.49","51.70","50.85","276.76K","-0.04%"
"2017年3月10日","51.37","52.33","53.02","51.14","351.34K","-1.57%"
"2017年3月9日","52.19","53.49","53.86","51.50","504.12K","-1.73%"
"2017年3月8日","53.11","55.63","55.77","52.93","444.13K","-5.03%"
"2017年3月7日","55.92","55.95","56.65","55.56","269.52K","-0.16%"
"2017年3月6日","56.01","55.80","56.25","55.32","224.20K","0.20%"
"2017年3月3日","55.90","55.18","55.95","55.09","248.71K","1.49%"
"2017年3月2日","55.08","56.31","56.44","55.03","350.12K","-2.27%"
"2017年3月1日","56.36","56.45","57.05","56.24","261.74K","1.39%"
"2017年2月28日","55.59","56.02","56.15","55.23","28.35K","-0.61%"
"2017年2月27日","55.93","55.96","56.77","55.86","139.29K","-0.11%"
"2017年2月24日","55.99","56.40","56.66","55.74","164.96K","-1.04%"
"2017年2月23日","56.58","56.20","57.26","56.18","223.59K","1.33%"
"2017年2月22日","55.84","56.74","57.01","55.64","245.16K","-1.45%"
"2017年2月21日","56.66","56.17","57.31","56.10","335.44K","0.85%"
"2017年2月20日","56.18","55.90","56.42","55.70","209.63K","0.66%"
"2017年2月17日","55.81","55.73","55.88","55.10","270.49K","0.29%"
"2017年2月16日","55.65","55.74","56.24","55.13","310.84K","-0.18%"
"2017年2月15日","55.75","55.82","56.25","55.56","272.52K","-0.39%"
"2017年2月14日","55.97","55.75","56.46","55.53","254.98K","0.68%"
"2017年2月13日","55.59","56.68","56.81","55.41","234.31K","-1.96%"
"2017年2月10日","56.70","55.66","56.88","55.59","284.71K","1.92%"
"2017年2月9日","55.63","55.30","55.92","55.23","263.40K","0.93%"
"2017年2月8日","55.12","54.50","55.68","54.44","409.83K","0.13%"
"2017年2月7日","55.05","55.91","55.98","54.58","317.18K","-1.20%"
"2017年2月6日","55.72","56.85","57.13","55.65","252.70K","-1.92%"
"2017年2月3日","56.81","56.92","57.30","56.39","264.76K","0.44%"
"2017年2月2日","56.56","56.53","57.45","56.33","297.35K","-0.42%"
"2017年2月1日","56.80","55.55","56.83","55.36","301.24K","1.97%"
"2017年1月31日","55.70","55.25","56.00","54.90","28.80K","0.85%"
"2017年1月30日","55.23","55.47","55.70","54.97","104.90K","-0.52%"
"2017年1月27日","55.52","56.09","56.50","54.86","142.07K","-1.28%"
"2017年1月26日","56.24","55.39","56.55","55.21","265.72K","2.11%"
"2017年1月25日","55.08","55.24","55.65","54.75","275.73K","-0.65%"
"2017年1月24日","55.44","55.42","55.87","55.07","254.89K","0.38%"
"2017年1月23日","55.23","55.70","55.75","54.65","305.85K","-0.47%"
"2017年1月20日","55.49","54.33","55.80","54.18","293.54K","2.46%"
"2017年1月19日","54.16","54.29","54.77","53.90","346.87K","0.45%"
"2017年1月18日","53.92","55.48","55.90","53.77","360.15K","-2.79%"
"2017年1月17日","55.47","55.74","56.95","55.40","335.73K","-0.70%"
"2017年1月16日","55.86","55.64","55.92","55.19","112.58K","0.74%"
"2017年1月13日","55.45","56.00","56.21","55.28","247.09K","-1.00%"
"2017年1月12日","56.01","55.19","56.43","55.01","331.63K","1.65%"
"2017年1月11日","55.10","53.80","55.67","53.70","419.90K","2.72%"
"2017年1月10日","53.64","54.95","55.36","53.58","332.98K","-2.37%"
"2017年1月9日","54.94","56.81","57.00","54.74","266.39K","-3.78%"
"2017年1月6日","57.10","56.88","57.47","56.28","234.87K","0.37%"
"2017年1月5日","56.89","56.35","57.35","56.01","269.61K","0.76%"
"2017年1月4日","56.46","55.73","56.55","55.33","282.55K","1.78%"
"2017年1月3日","55.47","57.05","58.37","55.30","340.82K","-2.38%"
"2017年1月2日","56.82","56.82","56.82","56.82","-","0.00%"
"2016年12月30日","56.82","57.00","57.20","56.46","129.10K","1.21%"
"2016年12月29日","56.14","56.01","56.63","55.91","49.08K","-0.14%"
"2016年12月28日","56.22","56.06","56.56","55.89","109.91K","0.23%"
"2016年12月27日","56.09","55.18","57.15","55.04","67.84K","1.69%"
"2016年12月23日","55.16","54.84","55.25","54.26","104.09K","0.20%"
"2016年12月22日","55.05","54.55","55.23","54.05","194.66K","1.08%"
"2016年12月21日","54.46","55.52","55.87","54.32","277.73K","-1.61%"
"2016年12月20日","55.35","55.02","55.92","54.75","257.02K","0.78%"
"2016年12月19日","54.92","55.40","55.80","54.69","228.39K","-0.53%"
"2016年12月16日","55.21","54.11","55.38","53.71","229.19K","2.20%"
"2016年12月15日","54.02","53.76","54.50","53.15","266.15K","0.22%"
"2016年12月14日","53.90","55.16","55.81","53.52","353.97K","-3.27%"
"2016年12月13日","55.72","55.70","56.44","55.13","283.43K","0.05%"
"2016年12月12日","55.69","55.88","57.89","55.11","372.17K","2.50%"
"2016年12月9日","54.33","53.97","54.46","53.77","264.80K","0.82%"
"2016年12月8日","53.89","53.15","54.05","52.81","334.18K","1.68%"
"2016年12月7日","53.00","53.94","54.23","52.92","298.57K","-1.72%"
"2016年12月6日","53.93","54.50","54.94","53.51","280.65K","-1.84%"
"2016年12月5日","54.94","54.40","55.33","53.77","288.55K","0.88%"
"2016年12月2日","54.46","53.88","54.50","52.84","312.78K","0.96%"
"2016年12月1日","53.94","51.72","54.53","51.51","460.86K","6.88%"
"2016年11月30日","50.47","46.54","50.49","46.51","43.12K","8.82%"
"2016年11月29日","46.38","48.07","48.10","45.92","133.11K","-3.86%"
"2016年11月28日","48.24","46.71","48.81","46.28","207.96K","2.12%"
"2016年11月25日","47.24","48.96","49.02","46.85","181.17K","-3.59%"
"2016年11月24日","49.00","49.03","49.21","48.76","71.19K","0.10%"
"2016年11月23日","48.95","49.20","49.50","48.56","275.29K","-0.35%"
"2016年11月22日","49.12","49.25","49.96","48.14","436.93K","0.45%"
"2016年11月21日","48.90","46.92","49.15","46.92","282.70K","4.35%"
"2016年11月18日","46.86","46.05","46.99","45.75","249.34K","0.80%"
"2016年11月17日","46.49","46.44","47.62","45.97","280.94K","-0.30%"
"2016年11月16日","46.63","46.88","47.56","46.25","335.48K","-0.68%"
"2016年11月15日","46.95","44.70","47.25","44.67","354.27K","5.67%"
"2016年11月14日","44.43","44.54","44.99","43.57","260.15K","-0.72%"
"2016年11月11日","44.75","45.80","45.89","44.19","286.71K","-2.38%"
"2016年11月10日","45.84","46.36","46.92","45.56","302.45K","-1.12%"
"2016年11月9日","46.36","46.04","46.95","44.40","448.12K","0.70%"
"2016年11月8日","46.04","46.30","46.69","45.60","320.98K","-0.24%"
"2016年11月7日","46.15","45.70","46.38","45.38","276.17K","1.25%"
"2016年11月4日","45.58","46.43","46.56","45.08","384.56K","-1.66%"
"2016年11月3日","46.35","47.15","47.52","45.99","283.66K","-1.09%"
"2016年11月2日","46.86","47.90","48.02","46.46","366.82K","-2.66%"
"2016年11月1日","48.14","48.72","49.26","47.72","462.80K","-0.33%"
"2016年10月31日","48.30","49.41","49.72","47.98","32.21K","-2.84%"
"2016年10月28日","49.71","50.41","50.58","49.31","94.84K","-1.51%"
"2016年10月27日","50.47","50.05","50.90","49.83","138.09K","0.98%"
