customer_id,tank_type_id,supplied_at,volume,purpose,sum,mean,matemp,mltemp,mhtemp,mwind,msnowacc,msnow,msun,mhumidi,mean_consumption,interval
1067,3,2019-01-29 06:04:00,412.6,,2236.3,17.335658914728683,2.9571428571428573,5.938095238095237,0.2523809523809523,3.7380952380952386,48.142857142857146,4.142857142857143,3.2428571428571424,70.80952380952381,19.64761904761905,21
1067,3,2019-02-19 06:42:00,467.9,,2236.3,17.335658914728683,4.171428571428571,7.261904761904761,1.3380952380952382,3.6380952380952376,59.142857142857146,2.4761904761904763,3.6619047619047627,64.61904761904762,22.280952380952378,21
1067,3,2019-03-12 07:05:00,293.1,,2236.3,17.335658914728683,-1.8761904761904762,1.7571428571428573,-5.3428571428571425,3.1238095238095243,37.333333333333336,0.5714285714285714,5.50952380952381,64.38095238095238,13.957142857142859,21
1067,3,2019-04-09 07:34:00,383.0,,2236.3,17.335658914728683,-2.910714285714286,0.24642857142857127,-6.853571428571429,3.882142857142857,3.9285714285714284,1.1428571428571428,5.025,65.92857142857143,13.678571428571429,28
1068,3,2018-11-26 06:57:00,167.2,,1432.4000000000003,10.01678321678322,,,,,,,,,,
1068,3,2018-12-11 07:01:00,133.9,,1432.4000000000003,10.01678321678322,-0.6000000000000001,2.926666666666667,-3.4933333333333327,3.38,5.066666666666666,1.8666666666666667,3.2066666666666666,69.4,8.926666666666668,15
1068,3,2018-12-26 12:27:00,163.3,,1432.4000000000003,10.01678321678322,0.8066666666666668,3.5133333333333328,-1.44,2.573333333333333,17.266666666666666,3.6666666666666665,2.36,74.66666666666667,10.886666666666667,15
1068,3,2019-01-10 07:37:00,170.0,,1432.4000000000003,10.01678321678322,2.8,5.300000000000001,0.45333333333333337,3.64,30.866666666666667,4.333333333333333,2.933333333333334,69.06666666666666,11.333333333333334,15
1068,3,2019-01-24 07:36:00,168.6,,1432.4000000000003,10.01678321678322,3.557142857142857,6.657142857142857,0.6571428571428571,3.792857142857143,45.642857142857146,4.071428571428571,3.3357142857142854,70.0,12.042857142857143,14
1068,3,2019-02-02 10:43:00,116.2,,1432.4000000000003,10.01678321678322,3.2555555555555555,5.988888888888889,0.5555555555555556,4.188888888888889,58.666666666666664,3.5555555555555554,3.8000000000000003,70.22222222222223,12.911111111111111,9
1068,3,2019-02-12 07:42:00,116.4,,1432.4000000000003,10.01678321678322,5.36,8.49,2.71,3.47,61.0,3.2,3.3400000000000007,65.8,11.64,10
1068,3,2019-02-22 07:31:00,102.7,,1432.4000000000003,10.01678321678322,1.0999999999999999,4.17,-1.61,2.75,55.8,1.1,3.5400000000000005,66.7,10.27,10
1068,3,2019-03-04 06:02:00,82.0,,1432.4000000000003,10.01678321678322,-1.2,2.6999999999999997,-4.91,2.93,44.0,0.8,5.78,62.4,8.2,10
1068,3,2019-03-13 06:08:00,83.5,,1432.4000000000003,10.01678321678322,-2.7666666666666666,0.6333333333333334,-5.944444444444445,3.6999999999999997,22.444444444444443,0.1111111111111111,4.788888888888889,65.33333333333333,9.277777777777779,9
1068,3,2019-04-03 06:29:00,192.4,,1432.4000000000003,10.01678321678322,-2.3809523809523805,0.7523809523809522,-6.095238095238095,3.8142857142857145,4.666666666666667,1.5238095238095237,4.952380952380953,65.52380952380952,9.161904761904761,21
1068,3,2019-04-24 06:09:00,103.4,,1432.4000000000003,10.01678321678322,-8.561904761904762,-3.8,-14.204761904761902,3.6047619047619044,0.0,0.0,8.042857142857143,55.95238095238095,4.923809523809524,21
