ID,Cluster
637,2
660,2
620,2
604,2
711,2
641,2
646,2
710,6
631,2
718,3
643,2
655,2
638,2
653,10
659,2
658,2
619,2
656,4
657,2
714,3
622,2
601,2
664,2
613,1
728,2
640,1
611,2
732,2
736,6
713,3
737,2
661,2
624,2
654,2
651,2
808,3
1047,8
1046,3
1044,2
1049,2
1012,2
770,2
1013,2
745,2
752,2
784,7
1051,2
1055,3
753,2
1052,2
1062,2
810,5
811,9
817,2
769,2
767,2
1084,2
1085,2
771,2
1087,2
1083,3
814,3
739,2
1091,2
1089,2
1090,2
847,2
858,3
1080,3
880,4
1078,2
1079,3
1082,4
1081,2
1075,2
1065,5
821,2
1064,2
1067,2
1068,2
838,2
872,7
1070,2
875,2
1066,2
1072,2
1074,2
1092,3
1093,5
878,2
1095,4
881,2
867,3
1096,2
836,4
1097,2
879,2
