index,customer_id,supplied_at,volume,size
108,1871.0,2020-11-26 07:24:00,346.8,446
109,1871.0,2020-12-11 18:22:00,505.8,446
110,1871.0,2020-12-25 08:51:00,566.2,446
111,1871.0,2021-01-05 12:22:00,498.2,446
112,1871.0,2021-01-18 11:08:00,617.7,446
113,1871.0,2021-01-29 17:55:00,438.1,446
114,1871.0,2021-02-13 12:38:00,668.8,446
115,1871.0,2021-02-26 16:43:00,259.9,446
116,1871.0,2021-03-11 09:56:00,253.9,446
117,1871.0,2021-03-23 11:02:00,300.2,446
118,1871.0,2021-04-05 11:03:00,264.6,446
119,1871.0,2021-04-15 15:41:00,240.9,446
120,1871.0,2021-11-13 09:39:00,489.4,446
121,1871.0,2021-11-29 11:02:00,459.1,446
122,1871.0,2021-12-14 11:27:00,545.7,446
123,1871.0,2021-12-23 08:01:00,407.4,446
124,1871.0,2022-01-04 10:53:00,653.5,446
125,1871.0,2022-01-15 09:34:00,591.2,446
126,1871.0,2022-01-26 09:28:00,565.0,446
127,1871.0,2022-02-02 10:34:00,368.6,446
128,1871.0,2022-02-12 11:10:00,514.1,446
129,1871.0,2022-02-25 10:34:00,596.4,446
130,1871.0,2022-03-08 15:47:00,459.7,446
131,1871.0,2022-03-17 08:11:00,290.6,446
132,1891.0,2020-11-17 16:53:00,217.2,446
133,1891.0,2020-12-17 09:22:00,440.1,446
134,1891.0,2020-12-29 08:30:00,197.8,446
135,1891.0,2021-01-19 11:59:00,355.6,446
136,1891.0,2021-02-05 10:24:00,298.8,446
137,1891.0,2021-03-09 10:28:00,432.3,446
138,1891.0,2021-12-14 10:41:00,264.7,446
139,1891.0,2022-01-26 10:26:00,683.8,446
140,1891.0,2022-03-03 13:37:00,480.9,446
141,2181.0,2020-12-11 18:34:00,221.7,492
142,2181.0,2020-12-17 07:25:00,121.6,492
143,2181.0,2020-12-25 09:03:00,196.8,492
144,2181.0,2020-12-30 08:11:00,146.4,492
