ID,volume,first_index,final_index
712,224.0,0,28
712,285.8,29,56
712,305.3,57,87
712,239.8,88,129
711,185.7,130,150
711,211.3,151,171
711,98.0,172,192
711,219.8,193,213
711,227.5,214,235
711,356.2,236,256
711,311.4,257,270
711,321.3,271,284
711,255.9,285,294
711,268.9,295,306
711,157.6,307,320
641,123.6,321,334
714,202.0,335,354
714,214.1,355,375
714,209.3,376,395
714,182.1,396,415
714,86.2,416,435
714,197.5,436,456
714,380.1,457,479
714,216.6,480,496
714,256.0,497,511
714,192.5,512,524
714,154.4,525,539
714,122.9,540,553
714,225.3,554,570
714,189.3,571,584
714,200.8,585,598
714,266.8,599,616
714,211.3,617,634
714,322.3,635,653
714,209.3,654,663
714,169.3,664,673
714,244.4,674,687
714,106.9,688,703
714,119.4,704,715
728,175.8,716,722
728,167.6,723,729
728,164.4,730,743
728,105.7,744,750
728,148.3,751,757
728,187.0,758,764
728,270.0,765,772
728,217.4,773,779
728,199.4,780,790
728,276.0,791,799
728,239.3,800,806
728,211.4,807,812
728,226.0,813,819
728,162.0,820,825
728,164.0,826,834
728,150.2,835,842
728,226.1,843,856
728,127.5,857,863
732,176.0,864,877
732,136.2,878,891
732,150.9,892,904
732,216.2,905,919
732,124.8,920,932
732,245.9,933,949
732,314.0,950,966
732,230.6,967,979
732,330.5,980,997
732,394.7,998,1017
732,202.6,1018,1030
732,256.4,1031,1048
737,195.0,1049,1058
737,182.7,1059,1067
737,167.7,1068,1080
737,317.3,1081,1090
737,262.4,1091,1099
737,258.7,1100,1109
737,161.4,1110,1118
737,280.2,1119,1128
737,188.3,1129,1138
734,131.3,1139,1166
734,396.0,1167,1196
734,204.5,1197,1217
734,215.3,1218,1245
734,242.3,1246,1275
734,315.1,1276,1297
734,210.0,1298,1313
734,171.5,1314,1334
734,201.6,1335,1352
734,212.4,1353,1372
808,253.2,1373,1387
808,223.8,1388,1402
808,321.3,1403,1419
808,296.3,1420,1436
808,270.8,1437,1450
808,248.6,1451,1465
808,185.2,1466,1480
808,335.4,1481,1496
808,294.9,1497,1510
808,346.6,1511,1525
808,301.9,1526,1539
808,264.2,1540,1553
1046,248.1,1554,1569
1046,281.4,1570,1584
1046,96.2,1585,1598
1046,147.4,1599,1613
1046,123.1,1614,1627
1046,153.3,1628,1642
1046,187.1,1643,1658
1046,178.8,1659,1673
1046,133.8,1674,1687
1046,178.0,1688,1702
1046,137.1,1703,1716
1046,133.4,1717,1731
1046,213.7,1732,1746
1046,164.1,1747,1761
1046,142.5,1762,1775
1012,237.3,1776,1796
1012,263.6,1797,1811
1012,196.5,1812,1826
1012,241.1,1827,1841
1012,215.5,1842,1856
1012,125.2,1857,1871
1012,180.0,1872,1885
1012,139.2,1886,1900
743,216.7,1901,1919
743,361.7,1920,1933
743,322.4,1934,1954
743,260.9,1955,1975
743,353.9,1976,1996
743,382.7,1997,2017
743,402.9,2018,2038
743,285.6,2039,2058
743,409.1,2059,2079
753,203.9,2080,2094
753,215.8,2095,2107
753,220.0,2108,2122
753,161.2,2123,2137
739,129.9,2138,2150
739,80.9,2151,2164
739,65.6,2165,2177
1080,254.4,2178,2191
1080,161.8,2192,2212
1080,178.6,2213,2232
1080,148.8,2233,2250
1080,246.5,2251,2271
1080,255.2,2272,2289
1080,118.6,2290,2298
1080,265.5,2299,2317
1080,320.4,2318,2334
1080,191.3,2335,2348
1080,316.4,2349,2368
1080,248.0,2369,2379
1080,182.0,2380,2389
1080,305.2,2390,2402
1080,154.9,2403,2410
1080,280.3,2411,2424
1080,200.9,2425,2438
1077,142.2,2439,2450
1077,156.3,2451,2464
1077,228.5,2465,2478
1077,171.1,2479,2491
1077,121.7,2492,2509
1077,167.8,2510,2520
828,365.6,2521,2540
828,423.0,2541,2560
828,560.5,2561,2580
828,529.7,2581,2599
821,300.0,2600,2613
821,216.2,2614,2625
821,251.6,2626,2638
821,283.7,2639,2648
821,153.8,2649,2655
1092,98.1,2656,2684
1092,197.1,2685,2712
1092,129.0,2713,2734
1092,154.3,2735,2759
1092,181.7,2760,2779
1092,215.0,2780,2799
1092,186.1,2800,2819
1092,150.6,2820,2840
1092,208.7,2841,2861
1092,127.0,2862,2882
881,224.9,2883,2894
881,224.3,2895,2907
881,204.1,2908,2920
881,206.9,2921,2932
881,226.8,2933,2943
